Product_Pair,Frequency
"('LUNCH BAG  BLACK SKULL.', 'LUNCH BAG RED RETROSPOT')",517
"('ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE GREEN')",514
"('JUMBO BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT')",469
"('LUNCH BAG  BLACK SKULL.', 'LUNCH BAG PINK POLKADOT')",464
"('LUNCH BAG RED RETROSPOT', 'LUNCH BAG PINK POLKADOT')",452
"('JUMBO BAG RED RETROSPOT', 'LUNCH BAG RED RETROSPOT')",425
"('DOLLY GIRL LUNCH BOX', 'SPACEBOY LUNCH BOX ')",424
"('PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER')",422
"('LUNCH BAG  BLACK SKULL.', 'LUNCH BAG SPACEBOY DESIGN ')",418
"('LUNCH BAG RED RETROSPOT', 'LUNCH BAG SUKI DESIGN ')",414
"('LUNCH BAG  BLACK SKULL.', 'LUNCH BAG SUKI DESIGN ')",409
"('HEART OF WICKER LARGE', 'HEART OF WICKER SMALL')",407
"('JUMBO BAG RED RETROSPOT', 'JUMBO BAG STRAWBERRY')",400
"('LUNCH BAG SPACEBOY DESIGN ', 'LUNCH BAG RED RETROSPOT')",397
"('WOODEN FRAME ANTIQUE WHITE ', 'WOODEN PICTURE FRAME WHITE FINISH')",392
"('ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE PINK')",389
"('PARTY BUNTING', 'SPOTTY BUNTING')",384
"('PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER ')",381
"('LUNCH BAG CARS BLUE', 'LUNCH BAG PINK POLKADOT')",380
"('ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER')",376
